Phase,Sub-Phase,Category,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone,Priority,Status,Source
1,PhD Proposal,PROPOSAL,T1.1,,Draft timeline v1 for Tuesday review; bring printed and digital copies,2025-08-29,2025-09-02,Draft comprehensive timeline for advisor review with printed and digital copies,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.2,,Develop 1-page Specific Aims and detailed outline following BME format requirements for PhD proposal,2025-09-02,2025-09-08,Develop comprehensive proposal outline following BME format requirements for committee review,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.3,T1.2,Submit proposal outline to advisor before Monday deadline,2025-09-05,2025-09-09,Submit detailed proposal outline to advisor for review and approval,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.4,,Define proposal committee and confirm availability; schedule oral exam date,2025-09-10,2025-09-14,Identify committee members and confirm availability for oral exam scheduling,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.5,,Write 12-page Research Strategy from outline per BME guidelines,2025-09-15,2025-09-25,Write comprehensive Research Strategy section following BME format requirements,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.6,T1.4,Confirm oral exam date scheduled; must send final proposal to committee ≥2 weeks prior,2025-09-28,2025-10-05,Confirm oral exam date and ensure committee receives proposal with sufficient notice,false,Critical,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.7,,Write 1-page Specific Aims and 12-page Research Strategy sections for proposal,2025-10-28,2025-11-08,Write comprehensive Specific Aims and Research Strategy sections for PhD proposal,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.8,,Write Methods and project timeline sections,2025-11-11,2025-11-18,Write detailed Methods and project timeline sections for proposal,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.9,"T1.8,T1.14",Complete full proposal document (~13 pages) with proper formatting and submit for review,2025-12-01,2025-12-07,Complete comprehensive proposal document with proper formatting for committee review,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.10,"T1.9,T1.6",Email proposal to committee ≥2 weeks before exam,2025-11-28,2025-12-05,Distribute final proposal to committee members with sufficient advance notice,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.11,T1.10,Create slide deck and practice oral exam presentation,2025-12-08,2025-12-18,Create comprehensive presentation and practice oral exam delivery,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.12,T1.M1,Incorporate committee revisions into proposal and submit signed approval form,2025-12-23,2026-01-06,Address committee feedback and obtain final approval for proposal,false,High,Not Started,data.cleaned.csv
1,Laser System,EQUIPMENT,T1.13,,Align seed laser to reach ≥30 mW output in fiber core (pre-pump),2025-09-02,2025-09-06,Align seed laser to achieve ≥30 mW output in fiber core for pre-pump optimization,false,High,Not Started,data.cleaned.csv
1,Laser System,EQUIPMENT,T1.14,T1.13,Restore amplified output to ≥130 mW (previous benchmark performance level),2025-09-09,2025-09-16,Restore amplified laser output to ≥130 mW benchmark performance level,false,High,Not Started,data.cleaned.csv
1,Laser System,EQUIPMENT,T1.15,T1.14,Verify ≤200 fs pulse duration and log specifications,2025-10-01,2025-10-07,Verify pulse compression to ≤200 fs duration and document specifications,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.16,T1.15,Align imaging system using USAF target for optimal resolution before in vivo experiments,2025-10-08,2025-10-14,Align imaging system using USAF target for optimal resolution validation,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.17,T1.16,Confirm laser and optics meet live imaging requirements,2025-10-15,2025-10-21,Validate laser and optics system meets live imaging performance requirements,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.18,T1.16,Align laser through microscope optics,2025-09-26,2025-09-30,Align laser beam through microscope optical system,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.19,T1.18,Image Air Force target to validate resolution,2025-10-01,2025-10-05,Image USAF target to validate optical resolution performance,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.20,T1.19,Acquire preliminary 6-panel tiled image in vivo,2025-10-07,2025-10-11,Acquire preliminary in vivo imaging data with 6-panel tiled configuration,false,High,Not Started,data.cleaned.csv
1,Committee Management,ADMIN,T1.21,,Submit annual progress report (due early September),2025-09-03,2025-09-07,Submit annual progress review report to department,false,High,Not Started,data.cleaned.csv
1,Committee Management,ADMIN,T1.22,,Update committee membership if needed and file Request for Change in Doctoral Committee form,2025-09-13,2025-09-23,Update committee membership and file necessary change forms if required,false,Medium,Not Started,data.cleaned.csv
1,Committee Management,ADMIN,T1.23,,Ensure doctoral candidacy status is confirmed (should already be completed by 5th year),2025-09-06,2025-09-30,Verify and confirm doctoral candidacy status,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.M1,"T1.11,T1.22",PhD Proposal Exam - Defend proposal in oral examination,2025-12-19,2025-12-22,Successfully defend PhD proposal in oral examination before committee,true,Critical,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.1,T1.5,Plan ~3 pilot mice cohort with IACUC protocol confirmation and surgery slot booking,2025-10-14,2025-10-18,Plan pilot mouse cohort with IACUC protocol confirmation and surgery scheduling,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.2,T2.1,Design and order AAV-mScarlet (vascular) and jRGECO1b (neuronal) vectors,2025-10-21,2025-11-04,Design and order AAV vectors for vascular and neuronal labeling,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.3,T2.2,Receive AAV vectors and prepare for injections,2025-12-20,2026-01-17,Receive AAV vectors and prepare for in vivo injections,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.4,"T1.17,T2.3,T1.12",Install cranial windows and inject AAV in three pilot mice with staggered timing,2026-02-01,2026-02-26,Perform cranial window surgeries and AAV injections in pilot mice cohort,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.5,T2.4,Monitor and medicate mice; maintain analgesia schedule,2026-02-27,2026-03-25,Monitor post-operative recovery and maintain appropriate analgesia,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.6,T2.5,Acquire in vivo images for all three mice comparing AAV fluorescence vs traditional dye injection methods,2026-03-28,2026-04-15,Acquire in vivo two-photon images comparing AAV and dye labeling methods,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.7,T2.6,Complete 3 pilot two-photon datasets,2026-04-16,2026-04-22,Complete comprehensive two-photon imaging datasets from pilot cohort,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.8,T2.6,Perform image registration and SNR analysis; calculate contrast metrics and refine imaging protocols,2026-04-21,2026-04-28,Process pilot imaging data and optimize imaging protocols,false,High,Not Started,data.cleaned.csv
2,Aim 2 - Dual-channel Imaging Platform,RESEARCH,T2.9,T2.8,Design U-Net architecture for vascular segmentation and prepare training datasets from pilot images,2026-05-01,2026-05-15,Design U-Net architecture and prepare training datasets for vascular segmentation,false,High,Not Started,data.cleaned.csv
2,Aim 2 - Dual-channel Imaging Platform,RESEARCH,T2.10,T2.9,Implement U-Net pipeline and test on pilot data,2026-05-28,2026-06-25,Implement and validate U-Net segmentation pipeline on pilot data,false,High,Not Started,data.cleaned.csv
2,Aim 2 - Dual-channel Imaging Platform,RESEARCH,T2.11,T2.7,Tune microscope optics for dual-channel two-photon imaging with spectral separation,2026-04-19,2026-05-10,Configure dual-channel two-photon imaging system with spectral separation,false,High,Not Started,data.cleaned.csv
2,Aim 2 - Dual-channel Imaging Platform,RESEARCH,T2.12,T2.11,Configure LSCI for blood-flow measurements,2026-05-18,2026-06-20,Configure Laser Speckle Contrast Imaging for blood flow measurements,false,High,Not Started,data.cleaned.csv
2,Aim 2 - Dual-channel Imaging Platform,RESEARCH,T2.13,T2.7,Design and order enhanced-expression AAV with tissue-specific enhancer for improved dual-label imaging,2026-04-19,2026-07-15,Design and order enhanced AAV vectors for improved dual-label imaging,false,High,Not Started,data.cleaned.csv
2,Aim 2 - Dual-channel Imaging Platform,RESEARCH,T2.14,T2.13,Receive enhanced AAV and prepare for in vivo tests,2026-07-18,2026-07-22,Receive enhanced AAV vectors and prepare for in vivo validation,false,High,Not Started,data.cleaned.csv
2,Aim 2 - Dual-channel Imaging Platform,RESEARCH,T2.15,T2.11,Systematically compare imaging depth; SNR; and contrast across different labeling methods in vivo,2026-05-23,2026-06-22,Compare imaging performance across different labeling methods in vivo,false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.16,T2.15,Complete training and IACUC approval for stroke induction method (photothrombosis),2026-06-18,2026-06-23,Establish photothrombotic stroke model with IACUC approval,false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.17,T2.16,Induce stroke in cohort to start Aim 3 imaging,2026-06-26,2026-06-30,Induce photothrombotic stroke in study cohort,false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.18,T2.17,Conduct two-photon + LSCI imaging sessions in acute phase (0-1 week post-stroke),2026-07-08,2026-07-13,Acquire acute-phase imaging data (0-1 week post-stroke),false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.19,T2.18,Conduct transition-phase imaging (2-4 weeks post-stroke),2026-07-20,2026-07-25,Acquire transition-phase imaging data (2-4 weeks post-stroke),false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.20,T2.19,Conduct imaging sessions in early chronic phase (5-8 weeks post-stroke),2026-08-19,2026-08-24,Acquire early chronic-phase imaging data (5-8 weeks post-stroke),false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.21,T2.20,Conduct extended chronic imaging (~12 weeks post-stroke) if needed,2026-09-16,2026-09-20,Acquire extended chronic-phase imaging data if required,false,Medium,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.22,T2.10,Adapt machine learning segmentation pipeline for stroke dataset analysis and vascular feature detection,2026-07-14,2026-08-15,Adapt ML pipeline for stroke imaging data analysis,false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.23,T2.22,Optimize ML pipeline performance and validate segmentation accuracy on stroke imaging data,2026-08-18,2026-09-15,Optimize and validate ML segmentation performance on stroke data,false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.24,T2.21,Complete all planned longitudinal imaging sessions for stroke study,2026-09-21,2026-09-27,Complete comprehensive longitudinal stroke imaging study,false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.25,"T2.18,T2.19,T2.20,T2.21",Integrate LSCI flow data with two-photon imaging data,2026-09-26,2026-10-23,Integrate Laser Speckle Contrast Imaging flow data with two-photon data,false,High,Not Started,data.cleaned.csv
2,Aim 3 - Stroke Study & Analysis,RESEARCH,T2.26,T2.25,Quantify microvascular network changes and neurovascular coupling dynamics from post-stroke imaging data,2026-10-26,2026-12-09,Analyze neurovascular coupling and microvascular changes post-stroke,false,High,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.27,,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q1 2026),2025-09-01,2025-12-31,Maintain equipment maintenance log for Q1 2026,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.28,T2.27,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q2 2026),2026-01-01,2026-03-31,Maintain equipment maintenance log for Q2 2026,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.29,T2.28,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q3 2026),2026-04-01,2026-06-30,Maintain equipment maintenance log for Q3 2026,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.30,T2.29,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q4 2026),2026-07-01,2026-09-30,Maintain equipment maintenance log for Q4 2026,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.31,,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q1 2027),2026-10-01,2026-12-31,Maintain equipment maintenance log for Q1 2027,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.32,,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q2 2027),2027-01-01,2027-03-31,Maintain equipment maintenance log for Q2 2027,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.33,,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q3 2027),2027-04-01,2027-06-30,Maintain equipment maintenance log for Q3 2027,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.34,,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues (Q4 2027),2027-07-01,2027-08-31,Maintain equipment maintenance log for Q4 2027,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.35,,Implement automated quality control checks and nightly backups,2025-10-01,2025-12-31,Implement automated data backup and quality control system,false,High,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.36,T2.35,Maintain and monitor automated quality control checks and nightly backups,2026-01-01,2027-08-31,Maintain automated data backup and quality control system,false,Medium,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.37,,Maintain proficiency with cranial window surgeries and train others; ensure IACUC compliance,2025-10-01,2026-06-01,Maintain surgical training and ensure IACUC compliance,false,High,Not Started,data.cleaned.csv
2,Data Management & Analysis,RESEARCH,T2.M1,T2.12,Dual-Color Platform Operational - Achieve operational status of the dual-color platform,2026-07-18,2026-07-18,Dual-color imaging platform achieves operational status,true,Critical,Not Started,new
2,Data Management & Analysis,RESEARCH,T2.M2,T2.26,Data Acquisition Complete - Complete all planned imaging studies,2026-12-09,2026-12-09,Complete comprehensive data acquisition for all research aims,true,Critical,Not Started,new
3,Methodology Paper,PUBLICATION,T3.1,T2.7,Write manuscript on AAV-based vascular imaging methodology and pilot results from Aim 1 studies,2026-04-19,2026-07-15,Write comprehensive methodology manuscript covering AAV-based vascular imaging approach,false,High,Not Started,data.cleaned.csv
3,Methodology Paper,PUBLICATION,T3.2,T3.1,Submit methodology paper to journal,2026-07-18,2026-07-22,Submit methodology manuscript to appropriate journal,false,High,Not Started,data.cleaned.csv
3,Research Paper,PUBLICATION,T3.3,T2.26,Prepare conference talk/poster with results,2026-12-10,2026-12-16,Prepare conference presentation with research results,false,Medium,Not Started,data.cleaned.csv
3,Research Paper,PUBLICATION,T3.4,T2.26,Write second research paper covering dual-color imaging platform and initial stroke study findings,2026-12-10,2026-12-16,Write comprehensive research paper covering dual-color platform and stroke findings,false,High,Not Started,data.cleaned.csv
3,Research Paper,PUBLICATION,T3.5,T3.4,Submit second manuscript to journal,2026-12-19,2026-12-23,Submit second research manuscript to appropriate journal,false,High,Not Started,data.cleaned.csv
3,Manuscript Submissions,PUBLICATION,T3.M1,T3.5,Manuscript Submissions Complete - All planned manuscripts submitted,2026-12-23,2026-12-23,Complete all planned manuscript submissions,true,High,Not Started,new
4,Dissertation Writing,DISSERTATION,T4.1,T1.12,Complete yearly graduate student progress review with advisor due early September,2026-09-01,2026-09-07,Complete annual progress review for 2026,false,High,Not Started,data.cleaned.csv
4,Dissertation Writing,DISSERTATION,T4.2,,PhD Dissertation & Defense - Write dissertation defend and complete graduation requirements,2026-12-19,2027-08-15,Complete comprehensive PhD dissertation and defense process,false,Critical,Not Started,data.cleaned.csv
4,Dissertation Writing,DISSERTATION,T4.3,T1.12,Write dissertation Introduction chapter including literature review and study rationale for PhD thesis,2026-12-19,2027-01-31,Write comprehensive Introduction chapter with literature review and study rationale,false,Critical,Not Started,data.cleaned.csv
4,Dissertation Writing,DISSERTATION,T4.4,T1.12,Write chapters detailing all three research aims including methods; experiments; data; and findings for dissertation,2027-02-03,2027-05-15,Write comprehensive Methods and Results chapters for all research aims,false,Critical,Not Started,data.cleaned.csv
4,Dissertation Writing,DISSERTATION,T4.5,T1.12,Write final dissertation chapters summarizing findings; implications; and future research directions,2027-02-03,2027-06-15,Write comprehensive Discussion and Conclusions chapters,false,Critical,Not Started,data.cleaned.csv
4,Committee Review & Defense,DISSERTATION,T4.6,"T4.3,T4.4,T4.5",Complete PhD dissertation draft compiled and ready for committee review,2027-06-19,2027-06-30,Complete comprehensive dissertation draft for committee review,false,Critical,Not Started,data.cleaned.csv
4,Committee Review & Defense,DISSERTATION,T4.7,T4.6,Defend dissertation in oral examination,2027-07-17,2027-07-20,Successfully defend PhD dissertation in oral examination,false,Critical,Not Started,data.cleaned.csv
4,Committee Review & Defense,DISSERTATION,T4.8,T4.7,Incorporate committee feedback and revisions after defense; obtain final approval signatures,2027-07-21,2027-08-03,Address committee feedback and obtain final approval,false,Critical,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.9,T4.8,Upload approved dissertation PDF and submit all required forms to Graduate School by deadline,2027-08-05,2027-08-11,Submit final dissertation and complete graduation requirements,false,Critical,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.10,,Serve as Teaching Assistant at least once before graduation (BME program requirement),2025-09-04,2026-08-31,Complete Teaching Assistant requirement for BME program,false,High,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.11,,Maintain full-time registration (9+ hours) for Spring 2026 semester,2026-01-01,2026-05-31,Maintain continuous registration for Spring 2026,false,High,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.12,,Maintain full-time registration (9+ hours) for Fall 2026 semester,2026-09-01,2026-12-31,Maintain continuous registration for Fall 2026,false,High,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.13,,Maintain full-time registration (9+ hours) for Spring 2027 semester,2027-01-01,2027-05-31,Maintain continuous registration for Spring 2027,false,High,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.14,,Maintain full-time registration (9+ hours) for Summer 2027 semester,2027-06-01,2027-08-31,Maintain continuous registration for Summer 2027,false,High,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.15,,Submit graduation application at beginning of final semester (required for summer 2027 graduation),2027-01-01,2027-01-15,Submit graduation application for Summer 2027,false,High,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.16,,Submit Request for Final Oral Exam form at least 2 weeks before defense date,2027-06-01,2027-06-15,Submit final oral exam request form,false,High,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.17,,Plan and execute SPIE Student Chapter events and submit annual report by Dec 1 2026,2025-09-08,2026-12-31,Plan and execute SPIE Student Chapter activities,false,Medium,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.18,,Be punctual to meetings and injections; provide regular updates to advisor; take ownership of microscope,2025-09-10,2027-08-31,Maintain lab culture responsibilities and equipment ownership,false,Medium,Not Started,data.cleaned.csv
4,Final Submission & Graduation,DISSERTATION,T4.M1,T4.6,Dissertation Complete - Complete dissertation draft for committee review,2027-06-30,2027-06-30,Complete comprehensive dissertation draft,true,Critical,Not Started,new
4,Final Submission & Graduation,DISSERTATION,T4.M2,T4.7,PhD Defense - Successfully defend PhD dissertation,2027-07-17,2027-07-17,Successfully defend PhD dissertation,true,Critical,Not Started,new
4,Final Submission & Graduation,DISSERTATION,T4.M3,T4.9,Graduation - Complete PhD program and graduate,2027-08-11,2027-08-11,Complete PhD program and graduate,true,Critical,Not Started,new